"","MSOA11CD","Crime.type","count_by_msoa","Month"
"1","","","",""
"2","E02000001","Burglary","1","2018-01"
"3","E02000002","Burglary","9","2018-01"
"4","E02000002","Robbery","1","2018-01"
"5","E02000003","Burglary","11","2018-01"
"6","E02000003","Robbery","2","2018-01"
"7","E02000004","Burglary","10","2018-01"
"8","E02000005","Burglary","6","2018-01"
"9","E02000005","Robbery","5","2018-01"
"10","E02000007","Burglary","7","2018-01"
"11","E02000007","Robbery","2","2018-01"
"12","E02000008","Burglary","7","2018-01"
"13","E02000008","Robbery","2","2018-01"
"14","E02000009","Burglary","10","2018-01"
"15","E02000009","Robbery","3","2018-01"
"16","E02000010","Burglary","10","2018-01"
"17","E02000010","Robbery","3","2018-01"
"18","E02000011","Burglary","4","2018-01"
"19","E02000012","Burglary","15","2018-01"
"20","E02000012","Robbery","1","2018-01"
"21","E02000013","Burglary","4","2018-01"
"22","E02000013","Robbery","4","2018-01"
"23","E02000014","Burglary","5","2018-01"
"24","E02000014","Robbery","7","2018-01"
"25","E02000015","Burglary","4","2018-01"
"26","E02000015","Robbery","4","2018-01"
"27","E02000016","Burglary","7","2018-01"
"28","E02000016","Robbery","9","2018-01"
"29","E02000017","Burglary","11","2018-01"
"30","E02000017","Robbery","2","2018-01"
"31","E02000018","Burglary","11","2018-01"
"32","E02000018","Robbery","4","2018-01"
"33","E02000019","Burglary","6","2018-01"
"34","E02000019","Robbery","1","2018-01"
"35","E02000020","Burglary","7","2018-01"
"36","E02000020","Robbery","4","2018-01"
"37","E02000021","Burglary","7","2018-01"
"38","E02000021","Robbery","3","2018-01"
"39","E02000022","Burglary","1","2018-01"
"40","E02000023","Burglary","22","2018-01"
"41","E02000023","Robbery","3","2018-01"
"42","E02000024","Burglary","21","2018-01"
"43","E02000025","Burglary","7","2018-01"
"44","E02000026","Burglary","11","2018-01"
"45","E02000027","Burglary","8","2018-01"
"46","E02000027","Robbery","2","2018-01"
"47","E02000028","Burglary","3","2018-01"
"48","E02000028","Robbery","1","2018-01"
"49","E02000029","Burglary","7","2018-01"
"50","E02000030","Burglary","12","2018-01"
"51","E02000031","Burglary","9","2018-01"
"52","E02000031","Robbery","1","2018-01"
"53","E02000032","Burglary","7","2018-01"
"54","E02000032","Robbery","1","2018-01"
"55","E02000033","Burglary","8","2018-01"
"56","E02000034","Burglary","3","2018-01"
"57","E02000035","Burglary","10","2018-01"
"58","E02000035","Robbery","1","2018-01"
"59","E02000036","Burglary","8","2018-01"
"60","E02000037","Burglary","11","2018-01"
"61","E02000038","Burglary","11","2018-01"
"62","E02000038","Robbery","3","2018-01"
"63","E02000039","Burglary","10","2018-01"
"64","E02000039","Robbery","4","2018-01"
"65","E02000040","Burglary","7","2018-01"
"66","E02000040","Robbery","1","2018-01"
"67","E02000041","Burglary","6","2018-01"
